device_name, device_EUI, date and time, malicious data
SensorBox8,a8610a3530408b09,2023-04-10 12:15,2
SensorBox7,18610a3530408b09,2023-04-09 12:45,1999999
SensorBox4,d8610a3530408b09,2023-04-10 20:35,9000
SensorBox1,o8610a3230408b09,2023-04-10 24:12,10000
SensorBox8,a8610a3530408b09,2023-04-11 14:19,15
SensorBox8,a8610a3530408b09,2023-04-11 23:0,629
SensorBox8,a8610a3530408b09,2023-04-11 23:2,629
SensorBox8,a8610a3530408b09,2023-04-11 23:2,1
SensorBox8,a8610a3530408b09,2023-04-11 23:2,1
SensorBox8,a8610a3530408b09,2023-04-11 23:3,0
SensorBox8,a8610a3530408b09,2023-04-11 23:4,0
SensorBox8,a8610a3530408b09,2023-04-11 23:4,0
SensorBox8,a8610a3530408b09,2023-04-11 23:10,903
SensorBox8,a8610a3530408b09,2023-04-11 23:10,4838
SensorBox8,a8610a3530408b09,2023-04-11 23:10,0
SensorBox8,a8610a3530408b09,2023-04-11 23:10,1
SensorBox8,a8610a3530408b09,2023-04-11 23:17,1
SensorBox8,a8610a3530408b09,2023-04-11 23:17,1
SensorBox8,a8610a3530408b09,2023-04-11 23:17,3016
SensorBox8,a8610a3530408b09,2023-04-11 23:19,1992
SensorBox8,a8610a3530408b09,2023-04-11 23:19,5322
SensorBox8,a8610a3530408b09,2023-04-11 23:20,0
SensorBox8,a8610a3530408b09,2023-04-11 23:20,1
SensorBox8,a8610a3530408b09,2023-04-11 23:20,1
SensorBox8,a8610a3530408b09,2023-04-11 23:20,1
SensorBox8,a8610a3530408b09,2023-04-11 23:21,1
SensorBox8,a8610a3530408b09,2023-04-11 23:21,1
SensorBox8,a8610a3530408b09,2023-04-11 23:33,1
SensorBox8,a8610a3530408b09,2023-04-11 23:33,1
SensorBox8,a8610a3530408b09,2023-04-11 23:33,1
SensorBox8,a8610a3530408b09,2023-04-11 23:34,1
SensorBox8,a8610a3530408b09,2023-04-11 23:34,1
SensorBox8,a8610a3530408b09,2023-04-11 23:34,1
SensorBox8,a8610a3530408b09,2023-04-11 23:34,1
SensorBox8,a8610a3530408b09,2023-04-11 23:34,1
SensorBox8,a8610a3530408b09,2023-04-11 23:35,1
SensorBox8,a8610a3530408b09,2023-04-11 23:35,1
SensorBox8,a8610a3530408b09,2023-04-11 23:35,1
SensorBox8,a8610a3530408b09,2023-04-11 23:35,1
SensorBox8,a8610a3530408b09,2023-04-11 23:35,1
SensorBox8,a8610a3530408b09,2023-04-11 23:35,1
SensorBox8,a8610a3530408b09,2023-04-11 23:36,1
SensorBox8,a8610a3530408b09,2023-04-11 23:36,1
SensorBox8,a8610a3530408b09,2023-04-11 23:36,1
SensorBox8,a8610a3530408b09,2023-04-11 23:36,1
SensorBox8,a8610a3530408b09,2023-04-11 23:36,1
SensorBox8,a8610a3530408b09,2023-04-11 23:37,1
SensorBox8,a8610a3530408b09,2023-04-11 23:37,1
SensorBox8,a8610a3530408b09,2023-04-11 23:37,1
SensorBox8,a8610a3530408b09,2023-04-11 23:37,1
SensorBox8,a8610a3530408b09,2023-04-11 23:37,1
SensorBox8,a8610a3530408b09,2023-04-11 23:38,1
SensorBox8,a8610a3530408b09,2023-04-11 23:38,1
SensorBox8,a8610a3530408b09,2023-04-11 23:38,1
SensorBox8,a8610a3530408b09,2023-04-11 23:38,1
SensorBox8,a8610a3530408b09,2023-04-11 23:38,1
SensorBox8,a8610a3530408b09,2023-04-11 23:38,1
SensorBox8,a8610a3530408b09,2023-04-11 23:48,1
SensorBox8,a8610a3530408b09,2023-04-11 23:49,1
SensorBox8,a8610a3530408b09,2023-04-11 23:55,901
SensorBox8,a8610a3530408b09,2023-04-11 23:55,901
SensorBox8,a8610a3530408b09,2023-04-11 23:58,901
